"V1","V2","V3","V4","V5","V6"
74380564.492481,22883980.1650301,113090155.248265,0,33874927.4309496,69903859.7097583
67054251.4341539,16336385.1703325,175867588.435353,7095794.95755471,53661495.0981061,69992880.8427491
64598738.6576957,1228198.1515981,166893651.991268,0,67023407.9485877,70421350.5557811
64573661.4760136,0,181210490.982912,0,31178020.887721,70062579.2884712
66522768.5139387,0,215487985.925074,0,33733523.2454419,69956734.8307627
65301569.4683501,8390436.66624308,189442171.879089,131243749.991399,50188483.0732386,70326626.7264492
71779327.3606923,39311342.1077532,464671866.441014,148506427.199441,69466413.1018974,78021349.9546188
308157044.575749,79276338.0748525,432667947.051005,290193005.582572,61815977.0579361,73465121.0605115
81486463.5977821,32905952.5546886,85351196.114618,199558602.446917,119610111.357571,70618949.4603755
622591152.327063,41319774.5179782,118306005.04438,51698531.3224718,40461336.1129654,73098314.9936416
84095962.1221129,49163896.9033674,161671115.208235,176068954.563211,25692686.4206805,70480134.8007834
81047508.2740397,129776826.081952,173988545.111368,208970718.892441,25962804.9400665,80957598.1153031
88366000.5474268,106690387.100782,233723399.250722,240629656.027388,27034304.2870175,100551287.846026
66065087.3671006,37754982.5521024,86970784.3461809,166845080.446597,26710139.1051411,141706610.967821
64629532.723017,276055312.463023,80701734.1104656,234597345.032756,25692686.4206805,194150880.401596
85732819.364475,183876340.698283,258318137.13548,115752261.969015,25692686.4206805,205456764.367457
66439989.3606659,189178321.361639,70728761.8208168,75290856.840129,25692686.4206805,85868459.137553
77175668.96926,86307607.1333761,97696711.3628074,184636119.646012,25692686.4206805,112442579.474164
70286769.1080675,93962122.2632546,153111771.953071,176332066.000211,25692686.4206805,75511718.9510732
79823169.899285,43451100.5197379,73787389.6371541,155293846.627089,27092848.7505376,117671021.506691
114162474.14021,28685435.4968382,51061664.5960038,88440011.3380018,38797880.2332662,88651527.3909471
64750518.063,2014190.45059961,35020920.3768744,56704065.9775918,33881815.0148932,86688876.7474353
72729938.2625486,25822892.6254467,115290173.944319,83515763.1430932,37550810.1101543,75968506.3041883
79359981.1574188,62862143.302651,200890293.482869,52644021.2017723,40497861.1793327,73727760.5560106
68378442.5067686,33902268.4574882,378483292.053671,62240101.7414595,25692686.4206805,100095029.794595
68232436.1625727,72344261.7009247,347268437.119997,25515734.6649213,26518799.9360427,194256740.738356
66129416.0770293,110034848.413263,424208908.599613,116776899.191153,29159228.2909343,72075915.8612232
68122614.7177117,37038688.4757285,152657056.842641,66041313.3150271,25692686.4206805,84639420.6277811
64811481.6323665,0,81132376.067991,0,25692686.4206805,87407668.4340288
74186146.3879878,29174376.4288729,211428984.865789,50676033.217708,29636454.3723561,78200677.3650886
95957669.5342095,36372429.6473366,269057438.125943,105043840.394857,26666632.533231,70501783.2396506
67791222.7248688,50230437.7156153,243687009.758686,148450810.147718,56319476.3563205,75698350.7247794
65704064.5130063,33300967.670336,146665516.564027,42145233.1302643,49107341.1087667,76828092.2386714
88784027.0100623,67005412.9601081,73670367.3660874,83295434.053573,40193137.7684969,82959417.0834158
77785359.7388747,153662073.408098,32320715.0593471,109467535.124254,52658621.1329926,85246000.3574101
107073097.819994,195384447.734144,91223708.0260902,212928086.03431,34999273.3310675,95671126.3214362
72052504.0740879,137747353.304348,158240690.919251,129034041.744075,36033767.5679218,115237292.364602
122391371.871748,177266421.09645,105012275.051205,90016540.8426272,34885732.5533314,85042748.5108328
90879666.9182681,194392520.888185,166184831.37795,72924993.024504,39799710.6250549,71188488.6581725
65632465.7776406,324571946.778205,409651338.078918,137945604.724088,65283771.2161797,73210632.8109429
64762899.1366233,90345539.4266606,319056039.312549,177763135.523405,65407956.4418285,107651340.632452
89659734.619536,69689760.1237742,255496228.656044,142091214.194867,31749272.9257055,103532314.929159
223918378.620408,160166655.645758,344279353.967608,130120713.370058,44429001.8937785,495482328.986083
73691013.5949584,266574949.687486,510317239.143939,115536211.114243,56658637.6868739,269311719.500485
87574559.1418837,198026659.952141,163516723.597629,156609403.812088,58803180.8692966,226459455.180443
64685902.95813,127907087.867888,86743426.7909656,26955360.6576118,46222904.4390751,156305810.010255
68823290.9571912,85066381.8588752,64503177.0000692,18790349.6411191,34067153.6373741,79463485.3222866
64950845.8169584,20412941.1638136,52788244.6182563,0,29888581.6876229,78286212.5171898
66679624.8203401,73455570.892946,98445653.8976342,0,40561519.1521442,70015852.5358258
80761664.0920794,77472435.713396,125293906.373791,0,28210411.4240444,78304949.7967962
72218833.4439376,25000383.3735321,141723833.231553,2274224.39659729,28033734.4601592,69940030.0696221
76125921.3568973,5931862.58645368,99228031.3670514,0,25692686.4206805,69952705.7863457
109574096.72227,0,45193164.8766825,0,25728702.2232653,69896669.6756857
101917438.114156,0,49885423.5971107,4056109.16912503,29690511.4705797,70205713.049803
79325834.0682443,2974516.08730684,133565709.191476,129727115.773245,66044536.1699442,72428113.2016204
68659990.7646069,0,85041588.6203101,160305798.634331,49089600.3622454,104789935.729856
65026327.406819,1944404.44683524,64253083.6893324,96408223.5560881,47058806.6722238,120826718.145477
65050423.1350671,2054218.64898522,34339516.4099204,56823856.5505348,40130523.3690101,88320184.5368914
67211878.8038591,18797768.2464998,24756729.8069425,17994597.9779975,26903022.7627602,82076541.8748457
67001653.9016352,844945.70828332,0,0,37617598.8029402,79684415.8451027
64561624.0763219,0,0,0,25694168.712231,0
64586321.2339452,0,0,0,25692686.4206805,0
64907600.1807975,0,19925515.4983563,0,25692686.4206805,0
68119200.0087942,0,31030126.5841546,0,25692686.4206805,0
64562475.0548279,0,50542754.4111595,0,25698296.8795891,69885209.2356281
64722302.6536709,0,52256629.1582676,0,26034842.806676,72899297.5605347
68979706.6559902,0,25290083.8835299,21207552.2737198,33220085.1696502,69878472.8130985
65755450.3746188,0,41281946.228288,13006176.2618694,33244191.7134527,69882286.4317302
65500834.2564681,0,55630214.0584472,16674762.5582501,44358038.9076934,0
66154420.558457,0,69604010.621193,149486142.956725,42494216.9496366,69890400.6265428
65434412.6604288,0,57328040.0369519,94810302.8777229,44190023.6024039,69939677.5547007
64908822.8668938,0,44275041.5728279,20615016.7611265,48520852.9002404,0
65697620.6268234,0,60646791.6444031,80722075.8526716,44899653.4632542,0
64916649.1594287,0,81082892.3647971,107942344.436604,68832964.093756,0
65055947.2528804,0,38068180.3154509,167916778.250962,37259653.1525407,69920876.7588923
72583986.994303,29905593.2985046,40644007.6763016,121699008.268688,32431143.7361166,0
327158247.422818,80038278.3423679,54673974.9291594,195323150.046431,58480716.7119396,69894714.4352657
95219101.0409365,70064585.5779552,87338568.6266762,291797343.613059,118297296.114998,70690235.811149
405927871.515219,53052601.264074,166920399.93894,206681863.30228,200230324.990116,70257499.9265455
921598486.404568,104785536.431993,152616934.921132,96072382.1283728,47317612.8567692,88565780.5181723
414679440.014928,97850826.6239612,169876048.156739,231752318.925359,33799268.3649031,93452293.6629676
158950787.668515,125054200.921545,292749432.776758,197847308.54773,36649162.7575445,77520101.2600649
67398365.9715118,172025887.228861,273116439.185227,168710390.79671,108280035.770436,110205750.558447
67806754.1428481,120621253.512613,252446962.621392,239239229.734299,214840351.537034,135320056.851151
65732979.386904,130312291.016496,172310111.394926,137954161.193584,136968910.041959,157782561.708043
73314844.8545367,104390521.316346,129861118.438851,149214475.05023,58893971.7485524,75378864.2284407
67356398.0973974,117031005.017063,68932637.1346162,92835897.5415367,31207345.2981473,69985163.6241993
70748856.3309281,100870497.730243,35228885.6700272,66828508.5086528,31901947.7031208,69893812.5051965
66217262.217728,57794538.2745789,59579548.5322749,55345726.4451126,36099512.6873829,69914828.9578533
69844123.6956562,40730763.0899795,52346234.7829701,71857573.4548865,25769220.0011732,69889265.8037327
74895524.6276117,26693681.5026072,75132811.405075,38339743.3219487,25692686.4206805,69956400.3120986
85046573.0239692,17926101.5579712,86081415.0860741,42840446.2768087,62095654.7089771,70356796.9224255
89123294.8637955,432374.365273817,27074773.8221006,3660372.4549382,66528754.192642,69978452.0788488
69604598.3878825,20488432.9414707,19716279.6776891,0,42125835.5659893,70136607.4219668
64561624.0763201,7230847.84897594,20086939.3625592,0,47076547.418745,70421784.5831618
65186405.6563118,3681329.80090525,61791603.8047811,0,60341407.9500221,69967763.3606463
66626641.7561694,32372243.2428806,306624930.631808,0,43455347.9817588,72339825.6807634
