"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
164132587.515483,301883722.718424,78808631.6848808,47346861.5504135,15344146.516536,3637405.6039563,28545143.0554109,0,0,16734576.6000026,24386549.4883234,87216345.3617293,20561709.2430167,37092688.0407818,36699570.2553372,27868147.8864636,21789188.762254,33023620.0870852,35332293.4228685,19083343.5980691,56021239.245769,243725238.60503,194374676.259798,100491465.711032,25297753.6634427
46001856.6667167,323197157.166402,144104921.453209,50006959.2047705,31934634.8484208,0,63369495.583756,0,2247755.61973664,19254696.3601085,26204342.3206705,51172913.8966803,33343582.4997896,38487999.6009321,37052316.9666612,38562397.4721106,21789188.762254,31709161.0901401,51601693.5554014,38319584.5008873,68609078.8397752,486919177.275881,73401731.7865469,39678486.7277847,28422211.4121508
67786872.1082881,174141617.155312,66511701.8608342,43279122.3559196,26681162.7236136,8766603.43249943,67447364.4138627,10403760.4380776,60501936.5314675,16057085.2580005,28028080.6228428,39438588.384538,44494811.809855,54405766.7863852,44472786.7669566,61542213.8594605,21789188.762254,31287215.9011759,64670221.7320349,25191327.4758784,43090908.839584,162849727.461345,31666677.077785,47629622.488295,45695414.9693619
213485162.418018,222012642.274917,63129854.4673942,51369142.3878207,5119660.3498966,12052310.8646944,87286519.9127155,135422068.903654,105485035.259191,16021083.2219965,25000923.921369,31067089.6679523,42017709.6816589,66946456.8425557,39447952.1015116,36975679.4387601,21789188.762254,31441335.9181561,54431703.1858068,61701784.0557994,42367047.020127,159962040.080244,252450562.374655,29515568.1983729,69546093.5653363
205272169.399464,46205924.7928273,66823251.5252418,49474521.6660178,4000997.85172511,21230311.8138016,43444899.023701,112360795.898101,40055275.757375,16021083.2219965,25812148.7123224,41199149.1990694,22814551.8467985,67095160.6772139,37052316.9666612,45051844.2693788,21789188.762254,37638698.3703783,39414691.534654,36926231.8272241,0,84825427.6476312,196615502.795526,34816795.4640271,46777870.4554386
37604894.662941,78012393.3173571,53206674.8066189,42439449.0244422,14592920.4442143,825110.563364037,13656390.8601544,127383894.616535,26166054.2368739,16021083.2219965,27297410.0346828,41133231.165452,19250447.9072215,46219881.5723745,36539689.4732171,36517294.2291255,21789188.762254,34248069.161714,28084750.4064355,19532406.0561473,42295195.5731234,50518283.0470487,96077085.5591964,34606194.2567013,128748605.75739
27366647.5514153,79715327.6012672,51969758.0690421,41766195.0806907,1509387.57525545,446028.408719073,15149020.3081268,106269909.135084,0,16021083.2219965,24780229.4641278,28525171.2729934,19933598.6476889,50206840.0866959,36504160.6719745,57666635.8997407,21789188.762254,67106658.2421468,23229182.0134979,94306026.7772501,42318375.559651,103965222.254299,190730503.812806,139692435.976431,115923576.800439
28152748.3117627,94333491.7685112,64381702.989405,39455656.5170359,917554.300183543,17307751.9976649,58747910.909635,140447458.719521,9989405.65404096,16021083.2219965,24386549.4883234,31661175.9459291,19604835.7614145,36909801.8904463,36504160.6719745,36610044.4136837,21789188.762254,195243773.133334,23145728.2818239,405229318.42889,48420759.3233128,134971892.161829,140726120.148863,177121159.474824,223153177.830469
29467933.5816355,59791940.8053685,92009136.2480578,41334863.1982174,915767.856841491,12710297.7304041,28288172.5910375,225713749.85609,25436213.6955852,16021083.2219965,24386549.4883234,27636513.7822888,24433240.5405935,36763491.6657583,36504160.6719745,24199640.4627482,21789188.762254,240244003.40097,23352848.0947058,233746215.278644,47265829.5170348,115618307.366596,60621324.7649968,189921764.107596,88555834.3222719
28861736.4778851,108145831.209912,57653925.197515,55443674.210385,8073752.84653637,315135.518302729,63751391.2360993,140845489.188284,23329021.644974,16021083.2219965,24386549.4883234,27636513.7822888,24687716.6383032,36763491.6657583,36504160.6719745,24425897.2559386,21789188.762254,257331979.823037,82766749.8660851,81038749.24828,58854439.144045,41220020.8700305,61621774.5920592,137149238.36118,128293000.400406
28219517.4749304,128502348.795951,49452662.7752039,53434623.8310878,19785067.9916891,1651116.55912918,47177767.2051654,201097096.249525,0,16021083.2219965,25430394.2428533,27636513.7822888,19902856.568771,36949188.8403367,36504160.6719745,26437112.1876896,21789188.762254,355620960.483299,95314905.7744863,52352786.315832,63073717.5906587,44580589.8573191,219856721.854975,98662807.9063508,220854203.672813
28077436.8124979,79677554.5672434,61143927.1376665,141212621.32635,28490967.8094109,0,78049823.3721403,124534404.696572,63100880.8980079,16021083.2219965,31222249.7197065,27636513.7822888,23815705.7459191,39397049.6217502,36504160.6719745,24028198.2621013,21789188.762254,146288518.422496,74482539.8570803,73096219.3238591,58407605.8363307,52364781.8131256,84528906.786182,56148629.3614159,181122274.437862
31857343.3456332,53424981.145359,75871912.8922719,39537429.3088071,13876736.9875112,0,198023313.476948,37892356.9654078,119601219.387044,16021083.2219965,29680368.1672672,27636513.7822888,28349308.4396796,37794113.5935075,36504160.6719745,23913234.0250762,21789188.762254,95647174.3437653,44395120.1466538,44787447.8719697,90130328.9719821,82325804.9216043,58012459.4467341,127338418.725266,220932756.320569
115747457.905861,44130611.3484983,65271556.6293257,46537232.5354016,3950332.06997669,0,158157291.056904,1465424.9369876,125942821.651291,16021083.2219965,24386549.4883234,27636513.7822888,27954522.3407547,45108516.0712452,36504160.6719745,23913234.0250762,21789188.762254,72879290.8086491,42912641.6884621,60458468.605279,202029923.345572,67580361.252423,60369627.8854282,127112774.574559,91729361.2916116
110102311.702005,63039162.6302886,71978752.7724012,44648620.6768918,3664296.71999066,0,82639044.0079271,17645873.7876705,134765436.731199,17678782.2287946,24386549.4883234,28027526.7403118,31273747.2290535,54217930.3636591,36600595.989633,23913234.0250762,22151851.9998317,55726974.2760228,29882947.2631892,19516667.8858875,44271232.4513277,52765005.1519098,21057472.5270751,69258554.5174471,46983678.3925592
