"V1","V2","V3","V4","V5","V6"
101335134.955533,25392913.1047155,114757316.464019,5942590.53807652,34634300.8791877,1767173.63602531
61088371.9481665,18742232.2642362,183338478.328188,21852272.8914978,63578500.9724398,6887022.82827922
19235837.1838164,3908990.75009991,173251020.188006,12743811.4702334,79650119.3492955,19456978.0847015
15605094.6356577,520650.113157658,189344349.45636,623771.30146521,29487688.943033,9894890.03219159
56228324.348977,839224.294920774,227875132.188533,10213792.637446,34364453.7572015,5308234.5283183
41387420.8749667,10959711.4226203,198597450.030551,96073144.5994745,58617021.5652238,17500181.6279209
89842592.6965254,42821734.4196209,392833598.707016,110670783.653937,82127040.4501871,80965733.0107423
352617514.986857,79751470.3004026,371787816.187663,266405716.750791,74370394.3200563,53077373.9631531
128136112.728663,36609343.0047077,87227080.8627284,165268198.660264,128907224.948571,23538958.7130282
555946121.609665,44757012.3777867,120159146.547778,46284951.7995534,44670524.5472288,50256655.4727083
137978232.763471,52325810.5560287,167380450.286752,134312743.514653,2681174.83491303,20671337.7991073
126480526.053327,122606229.026208,181226275.841309,178647142.200062,14567666.5823033,94744114.8092244
149202287.089011,101700913.032503,240961849.674233,223649043.197564,18924648.6122395,171717262.996685
52043143.4630428,41322063.169696,88714662.3704917,126400897.886449,17606512.6038646,245612635.814647
23694285.6893213,270826026.127502,82956579.5318123,215074356.656148,2681174.83491303,275983791.533416
142288005.919559,176897057.961231,257135353.248446,86480053.8303947,2681174.83491303,282531175.378644
55471365.6400048,182456283.707109,73796467.8031655,60550553.726937,2681174.83491303,114322987.472384
111877296.031229,85191279.6235414,98814992.2937453,144056491.811712,2681174.83491303,218071037.916728
82354503.4387536,91113269.2986687,157759029.705952,134538429.278166,2681174.83491303,67606999.680544
121862747.911204,46810707.6935326,76605798.0329382,116492742.415136,19162704.9173931,231693314.634319
216939392.593043,31885808.3669603,50610559.773222,69348943.275317,42276400.5179122,125244913.174898
28250445.4661219,4752704.91600454,29150641.5042871,48876140.8982948,34647444.7242438,117542649.860915
94611759.5079328,28682096.5421486,117035780.691656,66054020.1029775,40481558.4758586,70849917.7465731
120115761.21866,65689628.637467,211466100.057371,46774398.6293157,44723093.1426027,54941957.9079545
72780525.4058188,37609679.0095606,336155978.37857,51818005.3887775,2681174.83491303,169938710.785295
71862065.0302247,74388402.3572283,315629084.772147,32275271.5354362,16828480.0985188,276045096.6256
52631385.4937012,104729401.775317,366225151.146505,87114559.5578718,25635148.297407,41439575.9484483
70857823.0703507,40631859.1426579,157247891.737597,54361479.966209,2681174.83491303,109499725.49421
30457796.95228,2123848.3698159,83352121.4356107,15091560.7311515,2681174.83491303,120363489.553577
100601857.54475,32433023.1742035,223312474.147481,45755640.5221182,26545857.4404645,81807229.162692
169136704.917859,39989867.8969202,264197519.300698,79848872.8872831,17429604.0947407,21118549.327283
67827470.0750841,53366312.8930327,247513921.540893,110623077.720187,67375642.8144407,68931974.0838833
47173935.0697871,37030279.7956867,150512897.331036,41339545.5965708,57072522.5670641,75366356.0185481
150299952.725408,69731744.7120834,76498313.8199495,65906593.0453098,44284520.8611972,102906687.803115
114176837.373258,145216834.422634,25153832.1492789,82588242.08232,62145814.1604402,111880198.460182
198323908.967613,188963523.11495,92620945.7682518,184272379.82475,36779934.0100212,152693769.505952
91213106.4499774,129823729.757114,163524365.319603,94704784.6485688,38298159.4159982,228965186.032896
232492266.300012,169966433.811154,106391405.257377,70403833.9695021,36563259.7157622,111082553.068443
155802742.905237,187923469.291631,172454246.296158,58967502.0203308,43718281.9910263,31763650.0538384
46144587.9907961,318478493.148882,356652090.43931,101612160.77211,77886331.4487461,51225274.3767505
28698735.8393158,88315265.0026223,297076607.45306,135765939.650445,78012240.7229905,199394176.41151
152599410.382682,72334721.5341107,255279665.78017,105168087.680147,30577831.4860238,183337687.653931
298144637.680524,152037010.379084,313663463.212149,95377705.1278138,50380975.9647079,450488736.434559
98734389.0113414,261514525.424935,422850003.110924,86346264.5225133,67860162.2878016,319510406.983903
147124097.998757,191733931.971753,169455069.099487,117621171.232703,70923816.1885915,294694105.667907
25910880.2266597,120913136.894398,88505835.8995423,33102002.7672348,52951870.7997729,254067221.077713
75012307.5805428,84230993.6831022,66791130.3621783,28413097.6977321,35001133.6457549,87732971.5455774
35503855.4946727,22777646.2888968,52730041.0862632,10803762.0945239,27027001.8291868,82208603.950635
