"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
186597539.438568,331084373.726387,112932590.825518,50498839.7565213,20247471.7816484,7904047.91652238,37013490.4884308,20288787.9052029,13920051.101725,15142786.7023422,2827.7,99035950.9116832,17233126.4846263,14098810.6722431,24835104.7205472,25392840.5765306,2684160.51666667,20148479.2409013,33055602.0821573,20354878.7492597,45924348.5030309,278963157.082783,198375433.275793,108221830.585961,6177275.05953932
47533588.3421796,350098651.100846,200618146.329439,57436696.5180113,37412126.8327792,2216951.73418827,61891575.1983286,14337407.8682256,24091558.1302838,22865578.6663314,14312197.750823,61535038.5211039,41701028.6300453,19913434.9151105,27095513.962316,40366235.7940002,2684160.51666667,15077629.3670209,53272112.1905026,40742682.3087731,69795426.0838475,452089156.713819,84885990.2261587,44136158.3498555,13018785.5309529
83338739.8903074,214420789.553498,88867837.3342157,38595414.413627,31962590.9409247,13966973.7711394,64864121.8282565,28279319.6832159,57473623.9054917,3857332.70535411,18075912.7309748,44985729.932126,55357934.436576,57518349.8993909,51500956.4463996,65627645.2547835,2684160.51666667,3169922.69769149,68610559.1646314,26932068.1350729,7915067.84766357,212666765.734503,32192498.830204,53627571.5202597,42611520.1362982
236454053.314855,259829274.907965,80433583.494637,60926780.5608296,8769477.44186231,17225222.232634,79093343.3283746,89707652.1171827,83552579.0550772,2684160.51666667,8416566.27143682,28101874.4666836,52843544.4898483,78157888.2118423,39048749.3513371,38583786.9671027,2684160.51666667,14044427.6903362,56593676.1849745,64175267.0421048,1505816.73364269,208554697.875627,259353305.856849,30604258.1953038,76970562.0392233
229007719.023106,42837434.4192973,89644835.4206304,56072524.8112097,7330781.54098216,26246556.5669959,47506909.3247776,76187669.1516844,46237703.3271812,2684160.51666667,12694423.4500045,47796784.6892191,23681963.4564143,78350533.4791643,27095513.962316,47656193.170094,2684160.51666667,31502678.0536115,38487535.619396,39411544.1816544,0,100027660.750908,200647119.140884,38409867.9793276,44271122.0441794
28400300.9558984,104213588.926752,44915351.529178,35784861.2792563,19485849.8150702,4227603.41422085,25347098.4328157,84995163.8079127,39354839.6115095,2684160.51666667,16568001.2971149,47691534.5891095,8647753.68471137,41349946.9499935,17757004.6234699,38068857.305999,2684160.51666667,24440977.2090923,22738070.1986342,20831953.7382022,665726.370910155,42272801.7685455,105267299.518546,38161813.6294923,142412535.130089
814029.492134087,106495977.408669,39440167.2084301,32905719.9358304,2097154.36676329,3578652.07723337,26517925.3204576,72616804.4704093,15454375.4950322,2684160.51666667,7252771.25591455,18497378.9341242,15435138.9897512,49568795.1844269,6463640.34444445,61437816.1740462,2684160.51666667,75895218.0697399,11323386.974044,92925829.9585214,936747.820056311,128430708.235357,194681075.454787,145736033.043124,128217862.189083
2762983.6959138,126088236.39208,83555666.4791684,22828664.9763365,89553.7105594843,22422203.4071423,58522689.0177436,92653854.8133286,29319542.314243,2684160.51666667,2827.7,29681706.5316214,14494044.2801611,8019910.73545451,6463640.34444445,38173048.7591655,2684160.51666667,222982252.500433,9296619.40144454,447818834.348519,28369398.1358772,172968718.34183,143988061.180454,181268774.789606,241824384.705742
6152856.83668768,76613180.2951286,136378546.981227,31061147.8139848,83493.7862922353,17875889.8488526,36824349.86176,179112220.617281,38993163.9789013,2684160.51666667,2827.7,2684160.51666667,26834697.3210386,2684160.51666667,6463640.34444445,14891910.2782391,2684160.51666667,259844501.966944,14045606.2689025,234887802.746732,25323300.788059,145409206.702395,72825295.5802838,193420954.615739,98155881.9431307
4520755.13755919,143296472.899755,63411191.4627472,71366241.767541,12568693.7136899,3354576.33218175,62169956.5493853,92887205.5548998,37948935.8567063,2684160.51666667,2827.7,2684160.51666667,27316887.5581808,2684160.51666667,6463640.34444445,15648451.1846219,2684160.51666667,272858343.519869,87008738.395794,81901796.4014744,51748524.9479396,8059849.09302972,73769406.3470514,143321663.12541,141899791.056866
2928522.32378786,165234894.906803,24446914.2568389,66218802.8934957,24772936.8400049,5556171.38549659,50135848.3068886,145848872.054745,14405531.2131929,2684160.51666667,10681305.611545,2684160.51666667,15347138.7651537,9456303.35219146,6463640.34444445,22373404.4819015,2684160.51666667,347713153.072355,99592926.2070649,54400963.2803907,59554543.7621696,25785141.1442813,224208402.436595,106468163.984708,240190135.478142
2576266.33029246,106445351.416464,75480723.9308463,175297688.16401,33849437.4914413,323354.907840894,72581764.99027,83324611.8323563,59052287.7271958,2684160.51666667,24569021.7493577,2684160.51666667,25664570.7285311,23701681.5261103,6463640.34444445,14318654.3947768,2684160.51666667,164399368.966771,78856229.6038431,75302197.0320125,50856259.5772178,46151075.7568532,95386552.5099362,64288949.9381778,201354529.110589
13239494.6605456,62987999.3483211,107716564.443828,23253707.4355167,18759755.4037842,2741202.14524283,168461723.813361,40492092.2545892,91275766.5254775,2684160.51666667,21485798.5545392,2684160.51666667,34255000.1546654,17021832.4115643,6463640.34444445,2684160.51666667,2684160.51666667,106781313.494026,44557614.1362871,46921749.3152663,106912332.478383,96324653.1998509,69582420.2593089,133967820.19973,240245975.428971
136666993.793208,35994382.2480569,85774942.1016351,48129622.3424154,7265621.00093055,0,130516480.601513,24117363.4633236,94745357.3657424,2684160.51666667,2827.7,2684160.51666667,33506945.6050462,39058941.3240367,6463640.34444445,2684160.51666667,2684160.51666667,82114376.248151,42750789.5952944,62875390.4967222,252332067.382621,74949857.5922185,72587772.6905449,133751429.4623,101641829.13583
130605220.496579,81789146.3928163,100801763.495063,42602977.3967646,6897755.01257002,133963.86907391,75817020.1000921,31651464.1609912,100598743.236182,18036261.7497669,2827.7,15722039.4692392,38940136.3262984,57171696.1065645,24200875.2927087,2684160.51666667,15431886.426233,60565020.2960131,25520528.2589604,20815233.8203654,14891306.0390301,46991680.5776288,6650126.52509962,78605510.0210152,44586663.1906706
37677695.4964264,105479238.731882,159247263.644482,56605341.6309418,9404370.19665913,5903169.13349391,29415036.4309887,40413674.5986088,119956402.955179,24787103.1327168,2827.7,16691182.1284302,64422673.5842194,48711012.5615627,6463640.34444445,2684160.51666667,4942384.18433208,38863994.8598353,34701424.3709939,90977335.2965997,1390480.35851448,72790787.3288213,13508877.2122991,68425367.091714,158661218.002225
37497141.075053,309624159.918143,101661185.733849,24056019.2834143,1838759.39412546,1323060.7641546,101294704.231503,46219848.5434862,64164022.8074056,3164094.59385699,2827.7,15215385.3094399,93033197.7653104,34866959.12751,25144061.9973389,2684160.51666667,14984183.595767,93062378.0242756,51756613.0094915,109267450.41288,10444721.3407359,50024242.2728321,11305943.1777101,105607109.175352,68378034.4653644
19571936.0967693,301059170.109828,104944766.447676,29168534.1408131,8871349.46773551,5786420.67112476,264962465.782734,45794269.3896762,41688088.509677,2684160.51666667,2827.7,27475930.8330027,17322066.8825636,26799742.3417408,60496451.5344192,2684160.51666667,20170910.1766431,132407489.436488,49869228.6513601,122205566.396027,9606773.62115567,104224214.775741,28903027.5047958,37469144.0052871,107503512.616623
42002892.8778915,164556421.982509,100651955.948852,44920972.6208915,14221850.3725975,1104725.60331421,189738043.627606,43153391.4544218,12977168.9319931,2684160.51666667,2827.7,47709076.2724611,25706018.6761223,7378184.07873051,26493808.7338937,2684160.51666667,17636721.0444306,65252361.9219118,46714681.0244533,59891707.6246205,10022585.4140794,166705389.71889,18659618.9726175,25629211.1914628,126152754.858754
37827977.3202044,185002203.556109,30544223.3596383,80326557.6150961,19782652.9332411,174461.51987495,173794068.30546,76393496.472455,9092829.18682974,2684160.51666667,45497821.1150796,55080346.6437057,16543603.3572777,15681622.6225816,25794545.9856646,2684160.51666667,14426669.8191301,41052483.5562324,64691911.2823025,31208344.889899,14066139.6778917,323914462.378201,14643595.4295594,78539127.0190753,16307169.9193104
32617452.2697812,262261170.374851,9621187.8714529,162252727.52596,95346821.3019029,3304.0720091248,189658456.39638,81336942.182357,11740250.1767177,2684160.51666667,29453590.626462,33284230.0429306,26591237.3045569,2684160.51666667,26022230.4600206,2684160.51666667,15305157.3884979,28604887.8786804,121704229.559633,110736281.862496,93508860.1557192,64261491.1016923,43793684.5413475,72723976.0491432,4330536.81432502
16819074.9198876,134352929.619578,18364597.0602268,185117089.607094,54979377.8208232,2548723.73345468,77592075.4424345,44470971.4450081,26623506.0924508,2684160.51666667,2827.7,34208415.9758177,14475504.0619019,2684160.51666667,36609181.5565245,2684160.51666667,31910580.2061674,29008469.944526,174061253.719546,49989982.6037529,204516224.270963,72472067.432796,67214913.2772445,16831113.9150665,5208141.34974262
14459967.9118373,190036472.654371,84219939.4546006,141139976.431634,118188575.888538,2607576.78167061,158592907.141418,5882640.02941975,63432809.5132772,2684160.51666667,2827.7,16162572.7848443,2684160.51666667,2684160.51666667,6463640.34444445,62795201.46563,25909548.5597781,37521612.7647423,242876216.729855,98155835.8751979,163620912.768465,187864503.806756,77508255.863228,64786661.3464969,10021331.7702846
0,140877716.924647,34507991.435839,267331812.834642,56626780.9523809,198436.900992421,155893573.549025,131896.437718306,51175457.8479723,2684160.51666667,2827.7,2684160.51666667,8477636.51746962,14306922.3403477,39029788.6659756,38601869.7812886,15602712.1563321,28223967.8917276,180692498.915132,95889982.9117803,196814024.271866,93933519.6020205,166764580.268225,88620492.2470094,5398670.96485922
0,96559414.9061675,73101418.9097527,84454381.7942589,52971102.1791767,480099.388919249,137912527.460176,0,54909646.7909603,2684160.51666667,2827.7,2684160.51666667,20445510.7517719,20231160.5779214,26005945.7426495,36443471.1551188,19697830.2088309,29864702.4035587,101864607.049486,66588539.9533635,72917370.13861,193606970.500905,103516079.20255,29416077.3926699,28366343.7093646
